training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/xy,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
130.40277,0.005429291,0.14093181,-130.39734,130.39734,0.9204054,0.33677503,1500.0,15.0,20,150.0,1.0074224,-7.4048586,-130.47603,-163.5326,14.615941,-12.6713915,556.8755,0.02552536,0.30996954,0.30996954,9.938626e-05,0.0003,177.90561,128.24973,0.005149189,0.15752348,-128.24458,128.24458,1.0542825,0.3330538,1500.0,15.0,20,150.0,1.0238783,-8.878096,-128.30742,-164.10371,0.027660161,0.3511328,0.3511328,181.94353,0.003754671239852905,575.722051858902,100000,,,,,,,,,,,
130.23058,0.0052990033,0.15175365,-130.22528,130.22528,1.040042,0.33014566,1500.0,15.0,20,150.0,0.8983791,-4.8257146,-130.29694,-165.08928,13.457537,-7.6610627,591.61053,0.027638705,0.34336537,0.34336537,9.9257726e-05,0.0003,182.63376,129.49103,0.005125284,0.15372771,-129.4859,129.4859,0.9763191,0.33014566,1500.0,15.0,20,150.0,1.0779781,0.46246207,-129.52287,-161.14291,0.029040948,0.3223275,0.3223275,178.91812,0.03028298087120056,727.1369633674622,105000,,,,,,,,,,,
133.01266,0.004389912,0.1452601,-133.00827,133.00827,1.1793227,0.32972428,1500.0,15.0,20,150.0,0.9121375,0.43004304,-133.043,-163.08804,10.534931,-9.893519,598.74646,0.025751673,0.38885134,0.38885134,9.91171e-05,0.0003,192.2525,127.37798,0.0043085003,0.15699625,-127.37367,127.37367,1.0022266,0.3328303,1500.0,15.0,20,150.0,1.1920283,-1.7107462,-127.37216,-165.70023,0.031748086,0.33357137,0.33357137,178.60571,0.003822880554199219,746.2513725757599,110000,,,,,,,,,,,
130.14778,0.00556751,0.1556446,-130.14221,130.14221,1.0900811,0.3311517,1500.0,15.0,20,150.0,2.438679,-3.2129173,-130.06664,-235.98763,10.859917,-10.592862,662.1732,0.03144954,0.36098218,0.36098218,9.896442e-05,0.0003,186.73378,128.72601,0.0054317405,0.14823017,-128.72058,128.72058,1.0257058,0.3311517,1500.0,15.0,20,150.0,1.3373566,-1.2124343,-128.80896,-165.0235,0.022768958,0.3396642,0.3396642,181.013,0.003915970468521118,765.8312311172485,115000,,,,,,,,,,,
130.00974,0.0041277483,0.13629317,-130.0056,130.0056,1.016196,0.32823476,1500.0,15.0,20,150.0,1.0326873,-6.7537756,-129.94312,-174.45274,7.6282945,-7.7328506,531.9831,0.024805468,0.33355087,0.33355087,9.8799705e-05,0.0003,181.07504,130.1176,0.0042845,0.14791359,-130.11331,130.11331,1.148596,0.32748628,1500.0,15.0,20,150.0,1.0010515,-2.6373096,-130.14711,-166.02696,0.028427124,0.37614945,0.37614945,187.54108,0.0038542799949646,785.1026380062103,120000,,,,,,,,,,,
134.89598,0.0054017864,0.1487917,-134.89058,134.89058,0.8831951,0.32670572,1500.0,15.0,20,150.0,1.0605253,-1.010238,-134.8499,-257.4806,7.8060427,-6.3836484,464.77393,0.029612094,0.2885449,0.2885449,9.8623015e-05,0.0003,179.23825,127.81484,0.0050469427,0.15340276,-127.80979,127.80979,0.96212184,0.32670572,1500.0,15.0,20,150.0,1.9599991,0.48745543,-127.86999,-165.96234,0.03166862,0.31433073,0.31433073,176.92445,0.0038793286800384522,804.4992880821228,125000,,,,,,,,,,,
134.21083,0.004527831,0.1402809,-134.2063,134.2063,1.0143853,0.33076474,1500.0,15.0,20,150.0,0.7191944,-10.63449,-134.26614,-164.03143,7.4356627,-14.794895,500.2612,0.018808495,0.3355229,0.3355229,9.843441e-05,0.0003,185.25845,129.03375,0.004087083,0.13975307,-129.02966,129.02966,0.97708166,0.33046442,1500.0,15.0,20,150.0,1.0033429,-0.9677654,-129.0658,-163.6221,0.023747943,0.32289073,0.32289073,178.4707,0.0038176363945007325,823.5874767303467,130000,,,,,,,,,,,
133.01741,0.0044190744,0.14718163,-133.01299,133.01299,0.908056,0.32938215,1500.0,15.0,20,150.0,0.75253206,-1.5209514,-133.04166,-169.09193,6.7435946,-7.607343,575.83606,0.027524173,0.29909745,0.29909745,9.823391e-05,0.0003,178.63455,128.91946,0.0048217718,0.1454645,-128.91464,128.91464,0.9133897,0.32938215,1500.0,15.0,20,150.0,0.81164175,1.9942372,-128.8612,-163.9984,0.023334574,0.30085427,0.30085427,174.85925,0.003910652542114258,843.1407473087311,135000,,,,,,,,,,,
130.24718,0.0048048347,0.13701795,-130.24237,130.24237,1.04038,0.32677352,1500.0,15.0,20,150.0,1.1100854,0.88414764,-130.23979,-164.12715,11.347937,-8.736776,534.0854,0.026152013,0.33996862,0.33996862,9.8021614e-05,0.0003,182.35257,129.75499,0.0051107053,0.14149937,-129.74988,129.74988,0.997018,0.32827348,1500.0,15.0,20,150.0,2.1820843,-7.4465933,-129.7398,-168.07167,0.022084523,0.32729456,0.32729456,181.03125,0.0038254921436309815,862.2682144641876,140000,,,,,,,,,,,
135.95544,0.0031313847,0.13739942,-135.95232,135.95232,0.96509093,0.32747382,1500.0,15.0,20,150.0,0.8730359,-1.3537011,-135.9754,-294.28934,11.200306,-15.523112,530.8173,0.026495611,0.316042,0.316042,9.779754e-05,0.0003,184.23477,130.26733,0.0029501342,0.14135577,-130.26439,130.26439,0.9467063,0.32747382,1500.0,15.0,20,150.0,1.8912979,-4.7925453,-130.28745,-163.483,0.027184475,0.31002152,0.31002152,178.66187,0.003850270175933838,881.519572019577,145000,,,,,,,,,,,
