training/actor/bound_loss,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,time/epoch_time,time/total_time,step,training/actor/any_oob,training/actor/coordinate_oob,training/actor/jacobian,training/actor/loss,training/actor/max_clip,training/actor/mean_clip,training/actor/q,training/actor/transport,training/control/adjoint_clip_fraction,training/control/adjoint_norm,training/control/applied_adjoint_norm,training/control/eta,training/control/gate,training/control/relative_critic_disagreement,training/teacher/endpoint_variance,training/teacher/q,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,exploration/episode.normalized_return
0.0067267045,0.0,0.90952754,0.406816,500.0,5.0,20,50.0,0.3777696,-9.882323,-77.54474,-98.76482,6.8965473,-4.460406,265.3084,0.0,0.37001038,0.37001038,8.322294e-05,0.0003,18.885015,0.008670236778259278,2853.459013223648,320000,,,,,,,,,,,,,,,,,,,,,,
0.005808974,0.0,0.8316793,0.40740284,500.0,5.0,20,50.0,0.33794945,-9.468609,-74.98308,-99.10614,5.407544,-4.6588254,255.09258,0.0,0.3388285,0.3388285,8.263957e-05,0.0003,17.285183,0.008847915506362915,2897.6987915039062,325000,,,,,,,,,,,,,,,,,,,,,,
0.007980856,0.0,1.0232289,0.40622184,500.0,5.0,20,50.0,0.25428674,-8.567249,-79.314705,-98.6018,4.912297,-4.7590833,244.97153,0.0,0.4156579,0.4156579,8.2048646e-05,0.0003,21.045164,0.00862690315246582,2940.8335020542145,330000,,,,,,,,,,,,,,,,,,,,,,
0.0054266425,0.0,0.9374557,0.40264317,500.0,5.0,20,50.0,0.35616344,0.64120793,-74.70248,-98.83251,6.179202,-7.2986317,270.4386,0.0,0.37746012,0.37746012,8.1450344e-05,0.0003,19.234596,0.00890432906150818,2985.3553624153137,335000,,,,,,,,,,,,,,,,,,,,,,
0.007575645,0.0,1.008686,0.40150252,500.0,5.0,20,50.0,0.56034434,-7.648064,-73.63228,-98.78923,5.180478,-6.936261,257.27603,0.0,0.40498996,0.40498996,8.0844795e-05,0.0003,20.81742,0.00902170729637146,3030.464099884033,340000,,,,,,,,,,,,,,,,,,,,,,
0.0073054917,0.0,1.0084419,0.39814827,500.0,5.0,20,50.0,0.3205409,-4.416807,-77.163055,-98.69739,7.8986588,-7.045466,280.92834,0.0,0.4015094,0.4015094,8.0232174e-05,0.0003,20.403316,0.008530077362060547,3073.1146805286407,345000,,,,,,,,,,,,,,,,,,,,,,
0.0070411903,0.0,1.0375617,0.40237832,500.0,5.0,20,50.0,0.35569334,-1.9338287,-75.63933,-99.05764,5.582439,-8.000295,268.84677,0.0,0.41749233,0.41749233,7.961267e-05,0.0003,21.23735,0.008249509954452514,3114.362401008606,350000,,,,,,,,,,,,,,,,,,,,,,
0.007566616,0.0,0.99433684,0.4046033,500.0,5.0,20,50.0,0.4237036,-12.4119,-76.91996,-98.9768,6.7118025,-8.787176,328.42178,0.0,0.40231198,0.40231198,7.898643e-05,0.0003,20.54687,0.008079794836044311,3154.7615621089935,355000,,,,,,,,,,,,,,,,,,,,,,
0.0067643793,0.0,0.97508174,0.40697756,500.0,5.0,20,50.0,0.37388152,0.4944988,-75.403694,-99.00918,5.3890452,-5.3963346,251.58841,0.0,0.3968364,0.3968364,7.835362e-05,0.0003,20.222466,0.008253354740142823,3196.028505086899,360000,,,,,,,,,,,,,,,,,,,,,,
0.0084224865,0.0,0.85284746,0.4024856,500.0,5.0,20,50.0,0.34024227,-6.4260902,-77.65394,-99.04917,5.059877,-6.266744,259.24286,0.0,0.34325883,0.34325883,7.7714445e-05,0.0003,17.511606,0.008364676332473755,3237.852059841156,365000,,,,,,,,,,,,,,,,,,,,,,
0.008127476,0.0,1.063554,0.39753264,500.0,5.0,20,50.0,0.27278298,-1.7974384,-73.76113,-99.03545,6.264931,-8.03411,292.06482,0.0,0.42279744,0.42279744,7.706907e-05,0.0003,21.420782,0.008275646257400513,3279.2304561138153,370000,,,,,,,,,,,,,,,,,,,,,,
0.010043215,0.0,0.9441699,0.3975599,500.0,5.0,20,50.0,1.0416604,0.33384037,-76.15732,-98.44465,5.159498,-6.486217,326.37543,0.0,0.3753641,0.3753641,7.641764e-05,0.0003,19.81991,0.008467724180221558,3321.5692603588104,375000,,,,,,,,,,,,,,,,,,,,,,
0.008157927,0.0,0.9514857,0.39933547,500.0,5.0,20,50.0,0.31988186,0.2607491,-74.67738,-98.82791,5.7286687,-5.879281,251.01056,0.0,0.379962,0.379962,7.5760356e-05,0.0003,19.32614,0.008293035936355591,3363.0346205234528,380000,,,,,,,,,,,,,,,,,,,,,,
0.0068386495,0.0,0.9266778,0.39904687,500.0,5.0,20,50.0,0.3301659,-2.0577931,-75.92801,-98.733025,6.307407,-6.6505036,251.53738,0.0,0.36978787,0.36978787,7.50974e-05,0.0003,18.826397,0.008581266593933105,3405.9411392211914,385000,,,,,,,,,,,,,,,,,,,,,,
0.0067451335,0.0,0.9169278,0.39516473,500.0,5.0,20,50.0,0.29432613,0.18838549,-75.358505,-98.255806,5.486071,-4.709078,239.52673,0.0,0.36233753,0.36233753,7.442894e-05,0.0003,18.417948,0.008627139616012573,3449.0770211219788,390000,,,,,,,,,,,,,,,,,,,,,,
0.0077462797,0.0,1.0141468,0.39530247,500.0,5.0,20,50.0,0.33632824,-12.087214,-75.70484,-98.48895,7.5986342,-7.1200647,273.81323,0.0,0.40089476,0.40089476,7.375519e-05,0.0003,20.388813,0.008663597536087036,3492.395182132721,395000,,,,,,,,,,,,,,,,,,,,,,
0.007723222,0.0,1.0108063,0.39483765,500.0,5.0,20,50.0,0.31092507,0.589591,-75.59065,-98.82159,5.206349,-4.6076436,258.57928,0.0,0.39910442,0.39910442,7.30763e-05,0.0003,20.273869,0.008562285232543945,3535.2067699432373,400000,,,,,,,,,,,,,,,,,,,,,,
