training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
130.82498,0.0016146373,0.035411384,-130.82336,130.82336,0.63395107,0.19045542,1200.0,12.0,20,120.0,4.236067,-20.247448,-131.0245,-335.84598,12.9994135,-16.189716,665.7335,0.005708019,0.120739415,0.120739415,9.823391e-05,0.0003,149.54977,126.8108,0.0019240249,0.042947065,-126.808876,126.808876,0.93527794,0.19045542,1200.0,12.0,20,120.0,18.307835,-24.523464,-127.09345,-280.94565,0.008171255,0.17812875,0.17812875,166.49408,0.0036924139976501464,707.0462040901184,135000,,,,,,,,,,,,
127.472404,0.0020279218,0.044590395,-127.470375,127.470375,0.97898257,0.18977933,1200.0,12.0,20,120.0,4.5475144,-11.110773,-128.12018,-339.7071,33.506462,-19.920166,690.39526,0.0096113235,0.18579064,0.18579064,9.8021614e-05,0.0003,154.31479,132.9886,0.0024511074,0.048546966,-132.98615,132.98615,0.8742741,0.19167525,1200.0,12.0,20,120.0,17.427197,-24.037722,-133.52264,-295.16757,0.0032042593,0.1675767,0.1675767,170.52501,0.003775520849227905,725.9238164424896,140000,,,,,,,,,,,,
131.34535,0.00212951,0.037097447,-131.34322,131.34322,0.89743894,0.18268824,1200.0,12.0,20,120.0,4.28045,-7.200037,-131.59009,-325.45853,13.301467,-20.101492,406.94876,0.0034040727,0.16395155,0.16395155,9.779754e-05,0.0003,155.29999,125.04788,0.0012522896,0.035114825,-125.04663,125.04663,0.9189179,0.18268824,1200.0,12.0,20,120.0,16.320625,-21.003075,-125.085686,-259.88248,0.0059503145,0.1678755,0.1678755,161.51357,0.0036996058464050293,744.4218525886536,145000,,,,,,,,,,,,
123.394516,0.0010073569,0.02960558,-123.39351,123.39351,0.71699536,0.18531138,1200.0,12.0,20,120.0,5.495449,0.13767144,-123.43622,-337.8091,33.173523,-18.215862,582.8994,0.0054773367,0.1328674,0.1328674,9.756177e-05,0.0003,144.83406,130.62682,0.00055049575,0.025154194,-130.62627,130.62627,0.62438416,0.1767867,1200.0,12.0,20,120.0,22.402964,-25.549772,-130.64183,-270.71658,0.0028906837,0.11038281,0.11038281,166.27573,0.0037745628356933595,763.2946743965149,150000,,,,,,,,,,,,
129.31279,0.0016066128,0.03178978,-129.31119,129.31119,0.75557655,0.16947733,1200.0,12.0,20,120.0,8.266971,-4.4655156,-129.60263,-326.05386,22.691418,-29.522871,718.7365,0.0037456397,0.1280531,0.1280531,9.7314376e-05,0.0003,152.94614,127.09617,0.0021803572,0.031550616,-127.09399,127.09399,0.655324,0.16947733,1200.0,12.0,20,120.0,27.812222,-16.113676,-127.198814,-267.22406,0.0072876024,0.11106256,0.11106256,168.2359,0.003713279104232788,781.861076593399,155000,,,,,,,,,,,,
126.543785,0.0015779044,0.033474255,-126.542206,126.542206,0.584287,0.1499912,1200.0,12.0,20,120.0,37.79302,-27.049671,-126.595146,-315.36142,15.65345,-18.126963,537.2539,0.004797991,0.0876379,0.0876379,9.7055396e-05,0.0003,174.85336,128.5922,0.0016536615,0.03861791,-128.59055,128.59055,0.8975721,0.14711507,1200.0,12.0,20,120.0,23.4362,-22.707964,-128.69202,-285.5823,0.0056146206,0.13204639,0.13204639,167.87396,0.003780473470687866,800.7634506225586,160000,,,,,,,,,,,,
121.93442,0.0016834866,0.040792793,-121.93273,121.93273,1.4092498,0.15485579,1200.0,12.0,20,120.0,4.20003,-24.531912,-122.368866,-321.12964,7.781635,-14.298156,374.92206,0.005923604,0.21823049,0.21823049,9.6784934e-05,0.0003,152.3221,130.78842,0.001511801,0.03619274,-130.78691,130.78691,0.8539837,0.15485579,1200.0,12.0,20,120.0,23.222786,-25.262873,-130.77197,-277.32962,0.0047070193,0.13224432,0.13224432,169.88052,0.0036970561981201173,819.2487387657166,165000,,,,,,,,,,,,
136.22853,0.0017888345,0.06606658,-136.22675,136.22675,1.4033301,0.15124364,1200.0,12.0,20,120.0,8.52688,-11.968967,-137.2324,-345.1091,17.010668,-10.378034,462.30057,0.004544256,0.21224476,0.21224476,9.6503034e-05,0.0003,170.2248,130.92441,0.0017696936,0.0939813,-130.92264,130.92264,1.6896672,0.15662022,1200.0,12.0,20,120.0,26.729776,-29.717373,-132.456,-279.6378,0.013092135,0.26463604,0.26463604,189.41052,0.0037708149909973145,838.1028215885162,170000,,,,,,,,,,,,
127.4844,0.0026798635,0.03036873,-127.48172,127.48172,0.69375414,0.1536806,1200.0,12.0,20,120.0,4.0495777,-24.042637,-127.49002,-308.23438,17.101795,-22.137629,450.00833,0.004867841,0.10661654,0.10661654,9.62098e-05,0.0003,144.32797,133.72116,0.0014570176,0.036294606,-133.71971,133.71971,0.72890663,0.1536806,1200.0,12.0,20,120.0,23.411943,-20.936256,-133.82147,-294.3667,0.008160876,0.1120188,0.1120188,170.57536,0.0037598520278930665,856.9020884037018,175000,,,,,,,,,,,,
131.56529,0.0024013899,0.03570707,-131.5629,131.5629,1.1470536,0.15165435,1200.0,12.0,20,120.0,6.067514,0.46587473,-131.6573,-306.38583,68.12515,-65.952866,1590.5413,0.006662287,0.17395566,0.17395566,9.59053e-05,0.0003,158.50749,131.30402,0.0023762572,0.0409995,-131.30164,131.30164,1.2292832,0.1510626,1200.0,12.0,20,120.0,28.248741,-35.781853,-131.47134,-296.73538,0.0057487353,0.18569872,0.18569872,181.83661,0.0037208446979522707,875.5063195228577,180000,,,,,,,,,,,,
